Название района;Назва району;Город;Область;Тип
Чапаево;Чапаєве;Чутово;Полтавская;Село
Часниковка;Часниківка;Лохвица;Полтавская;Село
Чевельча;Чевельча;Оржица;Полтавская;Село
Червоная Знаменка;Червона Знам'янка;Кременчуг;Полтавская;Село
Червонозаводское;Червонозаводське;Лохвица;Полтавская;Село
Червоные Цветы;Червоні Квіти;Кобеляки;Полтавская;Село
Черевки;Черевки;Миргород;Полтавская;Село
Черевки;Черевки;Оржица;Полтавская;Село
Черкасовка;Черкасівка;Полтава;Полтавская;Село
Черкащаны;Черкащани;Миргород;Полтавская;Село
Чернечий Яр;Чернечий Яр;Диканька;Полтавская;Село
Черноглазовка;Чорноглазівка;Полтава;Полтавская;Село
Чернухи;Чорнухи;Чернухи;Полтавская;Район
Чернышовка;Чернишівка;Шишаки;Полтавская;Село
Черняковка;Черняківка;Чутово;Полтавская;Село
Чечелево;Чечелеве;Кременчуг;Полтавская;Село
Чикаловка;Чикалівка;Кременчуг;Полтавская;Село
Човно-Федоровка;Човно-Федорівка;Зеньков;Полтавская;Село
Чорбовка;Чорбівка;Кобеляки;Полтавская;Село
Чудновцы;Чуднівці;Лубны;Полтавская;Село
Чутовка;Чутівка;Оржица;Полтавская;Село
Чутово;Чутове;Чутово;Полтавская;Район
Шамраевка;Шамраівка;Решетиловка;Полтавская;Село
Шарковщина;Шарківщина;Миргород;Полтавская;Село
Шахворостовка;Шахворостівка;Миргород;Полтавская;Село
Шевченково;Шевченкове;Решетиловка;Полтавская;Село
Шедеево;Шедієве;Новые Санжары;Полтавская;Село
Шеки;Шеки;Лубны;Полтавская;Село
Шенгареевка;Шенгаріївка;Зеньков;Полтавская;Село
Шенгуры;Шенгури;Кобеляки;Полтавская;Село
Шепеловка;Шепелівка;Глобино;Полтавская;Село
Шершновка;Шершнівка;Лубны;Полтавская;Село
Шиловка;Шилівка;Зеньков;Полтавская;Село
Шиловка;Шилівка;Решетиловка;Полтавская;Село
Широкая Долина;Широка Долина;Великая Багачка;Полтавская;Село
Широкое;Широке;Великая Багачка;Полтавская;Село
Шишаки;Шишаки;Хорол;Полтавская;Село
Шишаки;Шишаки;Шишаки;Полтавская;Район
Шкураты;Шкурати;Пирятин;Полтавская;Село
Шкурупеевка;Шкурупіївка;Решетиловка;Полтавская;Село
Штомпелевка;Штомпелівка;Хорол;Полтавская;Село
Шульги;Шульги;Миргород;Полтавская;Село
Шушваловка;Шушвалівка;Глобино;Полтавская;Село
Щербани;Щербані;Полтава;Полтавская;Село
Юрки;Юрки;Козельщина;Полтавская;Село
Юсковцы;Юсківці;Лохвица;Полтавская;Село
Яблоневое;Яблуневе;Оржица;Полтавская;Село
Яблоновка;Яблунівка;Лохвица;Полтавская;Село
Яковцы;Яківці;Полтава;Полтавская;Село
Ялинцы;Ялинці;Кременчуг;Полтавская;Село
Ялосоветское;Ялосовецьке;Хорол;Полтавская;Село
Яремовка;Яремівка;Кременчуг;Полтавская;Село
Ярески;Яреськи;Шишаки;Полтавская;Село
Яреськи 1;Яреськи 1;Шишаки;Полтавская;Село
Ярмаки;Ярмаки;Миргород;Полтавская;Село
Яроши;Яроші;Глобино;Полтавская;Село
Яхники;Яхники;Лохвица;Полтавская;Село
Яцини;Яцини;Пирятин;Полтавская;Село
Ячники;Ячники;Лохвица;Полтавская;Село
Абиссинка;Абісінка;Керчь;Республика Крым;Район
Абрикосовка;Абрикосівка;Кировское;Республика Крым;Село
Абрикосовка;Абрикосівка;Саки;Республика Крым;Село
Абрикосово;Абрикосове;Первомайское;Республика Крым;Село
Аврора;Аврора;Раздольное;Республика Крым;Село
Автовокзал;Автовокзал;Керчь;Республика Крым;Район
Аграрное;Аграрне;Симферополь;Республика Крым;Село
Аджимушкай;Аджімушкай;Керчь;Республика Крым;Район
Азовское;Азовське;Джанкой;Республика Крым;Село
Айкаван;Айкаван;Симферополь;Республика Крым;Район
Ак-Мечеть;Ак-Мечеть;Симферополь;Республика Крым;Район
Акимовка;Якимівка;Нижнегорский;Республика Крым;Село
Акрополис;Акрополіс;Симферополь;Республика Крым;Район
Александровка;Олександрівка;Красногвардейское;Республика Крым;Село
Алексеевка;Олексіївка;Первомайское;Республика Крым;Село
Алмазное;Алмазне;Советский;Республика Крым;Село
Алупка;Алупка;Ялта;Республика Крым;Село
Алупка;Алупка;Алупка;Республика Крым;Район
Алушта;Алушта;Алушта;Республика Крым;Район
Амурское;Амурське;Красногвардейское;Республика Крым;Село
Андреевка;Андріївка;Севастополь;Республика Крым;Село
Андрусово;Андрусово;Симферополь;Республика Крым;Село
Анновка;Аннівка;Белогорск;Республика Крым;Село
Аркадьевка;Аркадіївка;Симферополь;Республика Крым;Село
Армянск;Армянськ;Красноперекопск;Республика Крым;Район
Ароматное;Ароматне;Бахчисарай;Республика Крым;Село
Ароматное;Ароматне;Белогорск;Республика Крым;Село
Артек;Артек;Ялта;Республика Крым;Село
Артёмовка;Артемівка;Черноморское;Республика Крым;Село
Аршинцево;Аршинцево;Керчь;Республика Крым;Район
Аутка;Аутка;Ялта;Республика Крым;Район
Аэрофлотский;Аерофлотський;Симферополь;Республика Крым;Село
Бабенково;Бабенкове;Кировское;Республика Крым;Село
Багерово;Багерове;Ленино;Республика Крым;Село
Балаклава;Балаклава;Севастополь;Республика Крым;Село
Балки;Балки;Белогорск;Республика Крым;Село
Батальное;Батальне;Ленино;Республика Крым;Село
Бахчисарай;Бахчисарай;Бахчисарай;Республика Крым;Район
Баштановка;Баштанівка;Бахчисарай;Республика Крым;Село
Белая Скала;Біла Скеля;Белогорск;Республика Крым;Село
Белинское;Бєлінське;Ленино;Республика Крым;Село
Белоглинка;Білоглинка;Симферополь;Республика Крым;Село
Белогорск;Білогірськ;Белогорск;Республика Крым;Район
Белое;Біле;Симферополь;Республика Крым;Район
Береговое;Берегове;Бахчисарай;Республика Крым;Село
Береговое;Берегове;Феодосия;Республика Крым;Село
Береговое;Берегове;Ялта;Республика Крым;Село
Березовка;Березівка;Раздольное;Республика Крым;Село
Ближнегородское;Ближньогородське;Джанкой;Республика Крым;Село
Ближнее;Ближнє;Красногвардейское;Республика Крым;Село
Ближнее;Ближнє;Феодосия;Республика Крым;Село
Богатовка;Багатівка;Судак;Республика Крым;Село
Богатое;Багате;Белогорск;Республика Крым;Село
Бондаренково;Бондаренкове;Ленино;Республика Крым;Село
Бородино;Бородіно;Джанкой;Республика Крым;Село
Ботаническое;Ботанічне;Раздольное;Республика Крым;Село
Бочарка;Бочарка;Керчь;Республика Крым;Район
Братское;Братське;Красноперекопск;Республика Крым;Село
Братское;Братське;Первомайское;Республика Крым;Село
Брянское;Брянське;Бахчисарай;Республика Крым;Село
Варваровка;Варварівка;Советский;Республика Крым;Село
Васильевка;Василівка;Белогорск;Республика Крым;Село
Великое;Велике;Саки;Республика Крым;Село
Великое Садовое;Велике Садове;Бахчисарай;Республика Крым;Село
Великоселье;Великосілля;Нижнегорский;Республика Крым;Село
Вересаево;Вересаєве;Саки;Республика Крым;Село
Верхнекурганное;Верхньокурганне;Симферополь;Республика Крым;Село
Верхнесадовое;Верхньосадове;Севастополь;Республика Крым;Село
Верхноречье;Верхоріччя;Бахчисарай;Республика Крым;Село
Верхняя Кутузовка;Верхня Кутузовка;Алушта;Республика Крым;Село
Веселовка;Веселівка;Саки;Республика Крым;Село
Веселое;Веселе;Судак;Республика Крым;Село
Викторовка;Вікторівка;Бахчисарай;Республика Крым;Село
Вилино;Віліне;Бахчисарай;Республика Крым;Село
Винницкое;Вінницьке;Симферополь;Республика Крым;Село
Виноградное;Виноградне;Ленино;Республика Крым;Село
Виноградное;Віноградне;Ялта;Республика Крым;Село
Виноградный;Виноградний;Алушта;Республика Крым;Село
Виноградово;Виноградове;Саки;Республика Крым;Село
Витино;Вітіне;Саки;Республика Крым;Село
Витино;Вітіно;Евпатория;Республика Крым;Село
Вишенное;Вишенне;Белогорск;Республика Крым;Село
Вишневка;Вишнівка;Красноперекопск;Республика Крым;Село
Вишневое;Вишневе;Севастополь;Республика Крым;Село
Владимировка;Володимирівка;Саки;Республика Крым;Село
Владиславовка;Владиславівка;Кировское;Республика Крым;Село
Владиславовка;Владиславівка;Нижнегорский;Республика Крым;Село
Водное;Водне;Симферополь;Республика Крым;Село
Водоканал;Водоканал;Севастополь;Республика Крым;Село
Водопойное;Водопійне;Черноморское;Республика Крым;Село
Возрожденья;Відродження;Кировское;Республика Крым;Село
Воинка;Воїнка;Красноперекопск;Республика Крым;Село
Войкова;Войкова;Керчь;Республика Крым;Район
Войково;Войкове;Ленино;Республика Крым;Село
Войково;Войкове;Первомайское;Республика Крым;Село
Вольное;Вільне;Джанкой;Республика Крым;Село
Воробьево;Воробйове;Саки;Республика Крым;Село
Воронки;Воронки;Раздольное;Республика Крым;Село
Восточное;Восточне;Советский;Республика Крым;Село
Восход;Восход;Красногвардейское;Республика Крым;Село
Восход;Восход;Ялта;Республика Крым;Село
Высокогорное;Високогірне;Ялта;Республика Крым;Село
Гагаринский;Гагаринський;Севастополь;Республика Крым;Район
Гаршино;Гаршине;Саки;Республика Крым;Село
Гаспра;Гаспра;Ялта;Республика Крым;Село
Гвардейское;Гвардійське;Первомайское;Республика Крым;Село
Гвардейское;Гвардійське;Симферополь;Республика Крым;Село
Генеральское;Генеральське;Алушта;Республика Крым;Село
Геройское;Геройське;Саки;Республика Крым;Село
Глазовка;Глазівка;Ленино;Республика Крым;Село
Глинка;Глінка;Саки;Республика Крым;Село
Глубокий Яр;Глибокий Яр;Бахчисарай;Республика Крым;Село
Головановка;Голованівка;Белогорск;Республика Крым;Село
Голубинка;Голубинка;Бахчисарай;Республика Крым;Село
Голубой Залив;Голуба Затока;Ялта;Республика Крым;Село
Гончарное;Гончарне;Севастополь;Республика Крым;Село
Горностаевка;Горностаївка;Ленино;Республика Крым;Село
Гресовский;Гресівський;Симферополь;Республика Крым;Село
Гришино;Гришине;Первомайское;Республика Крым;Село
Громовка;Громівка;Судак;Республика Крым;Село
Громовое;Громове;Черноморское;Республика Крым;Село
Грушовка;Грушівка;Судак;Республика Крым;Село
ГРЭС;ГРЕС;Симферополь;Республика Крым;Пригород
Гурзуф;Гурзуф;Ялта;Республика Крым;Село
Давидовка;Давидівка;Симферополь;Республика Крым;Пригород
Далекое;Далеке;Черноморское;Республика Крым;Село
Дальнее;Дальнє;Севастополь;Республика Крым;Село
Даниловка;Данилівка;Ялта;Республика Крым;Село
Дачное;Дачне;Судак;Республика Крым;Село
Двуречье;Дворіччя;Нижнегорский;Республика Крым;Село
Демьяновка;Дем'янівка;Симферополь;Республика Крым;Село
Денисовка;Денисівка;Симферополь;Республика Крым;Село
Джанкой;Джанкой;Джанкой;Республика Крым;Район
Дибровка;Дібрівка;Бахчисарай;Республика Крым;Село
Дибровское;Дібрівське;Красногвардейское;Республика Крым;Село
Дмитровка;Дмитрівка;Джанкой;Республика Крым;Село
Дмитровка;Дмитрівка;Советский;Республика Крым;Село
Днепровка;Дніпровка;Джанкой;Республика Крым;Село
Доброе;Добре;Симферополь;Республика Крым;Село
Добролюбовка;Добролюбовка;Кировское;Республика Крым;Село
Добрушино;Добрушине;Саки;Республика Крым;Село
Дозорное;Дозорне;Черноморское;Республика Крым;Село
Докучаево;Докучаєве;Красногвардейское;Республика Крым;Село
Долинка;Долинка;Красноперекопск;Республика Крым;Село
Долинка;Долинка;Саки;Республика Крым;Село
Долинное;Долинне;Бахчисарай;Республика Крым;Село
Долиновка;Долинівка;Белогорск;Республика Крым;Село
Донское;Донське;Симферополь;Республика Крым;Село
Дрофино;Дрофине;Нижнегорский;Республика Крым;Село
Дубки;Дубки;Симферополь;Республика Крым;Село
Евпатория;Євпаторія;Евпатория;Республика Крым;Район
Елизаветово;Єлизаветове;Саки;Республика Крым;Село
Еникале;Єнікале;Керчь;Республика Крым;Район
Ермаково;Єрмакове;Джанкой;Республика Крым;Село
Ж.д. вокзал;Зал. вокзал;Керчь;Республика Крым;Район
Железнодорожное;Залізничне;Бахчисарай;Республика Крым;Село
Железнодорожный;Залізничний;Симферополь;Республика Крым;Район
Желябовка;Желябовка;Нижнегорский;Республика Крым;Село
Жемчужина;Жемчужина;Нижнегорский;Республика Крым;Село
Живописное;Живописне;Симферополь;Республика Крым;Село
Жилино;Жилине;Джанкой;Республика Крым;Село
Журавки;Журавки;Кировское;Республика Крым;Село
Журавлевка;Журавлівка;Симферополь;Республика Крым;Село
Журавли;Журавлі;Саки;Республика Крым;Село
Завет-Ленинский;Завіт-Ленінський;Джанкой;Республика Крым;Село
Заветное;Завітне;Ленино;Республика Крым;Село
Заветное;Завітне;Советский;Республика Крым;Село
Заводское;Заводське;Ленино;Республика Крым;Село
Зайцево;Зайцеве;Черноморское;Республика Крым;Село
Залессье;Залісся;Симферополь;Республика Крым;Район
Залесье;Залісся;Симферополь;Республика Крым;Село
Заозерное;Заозерне;Евпатория;Республика Крым;Село
Запрудное;Запрудне;Алушта;Республика Крым;Село
Заречное;Зарічне;Джанкой;Республика Крым;Село
Заречное;Зарічне;Симферополь;Республика Крым;Село
Заречье;Заріччя;Нижнегорский;Республика Крым;Село
Зеленая Нива;Зелена Нива;Красноперекопск;Республика Крым;Село
Зеленогорское;Зеленогірське;Белогорск;Республика Крым;Село
Зеленогорье;Зеленогір'я;Алушта;Республика Крым;Село
Зеленое;Зелене;Бахчисарай;Республика Крым;Село
Зеленое;Зелене;Нижнегорский;Республика Крым;Село
Земляничное;Земляничне;Белогорск;Республика Крым;Село
Зерновое;Зернове;Джанкой;Республика Крым;Село
Зерновое;Зернове;Красногвардейское;Республика Крым;Село
Зерновое;Зернове;Саки;Республика Крым;Село
Зимино;Зимине;Раздольное;Республика Крым;Село
Знаменка;Знаменка;Красногвардейское;Республика Крым;Село
Золотое;Золоте;Ленино;Республика Крым;Село
Золотое Поле;Золоте Поле;Кировское;Республика Крым;Село
Зоркино;Зоркіне;Нижнегорский;Республика Крым;Село
Зоряное;Зоряне;Черноморское;Республика Крым;Село
Зуя;Зуя;Белогорск;Республика Крым;Село
Зыбины;Зибини;Белогорск;Республика Крым;Село
Ивановка;Іванівка;Нижнегорский;Республика Крым;Село
Ивановка;Іванівка;Саки;Республика Крым;Село
Ивановка;Іванівка;Симферополь;Республика Крым;Село
Ивановка;Іванівка;Ленино;Республика Крым;Село
Изобильное;Ізобільне;Алушта;Республика Крым;Село
Изобильное;Ізобільне;Кировское;Республика Крым;Село
Изобильное;Ізобільне;Нижнегорский;Республика Крым;Село
Изумрудное;Ізумрудне;Джанкой;Республика Крым;Село
Изюмовка;Ізюмівка;Кировское;Республика Крым;Село
Ильинка;Іллінка;Красноперекопск;Республика Крым;Село
Ильинка;Іллінка;Саки;Республика Крым;Село
Ильичево;Іллічеве;Ленино;Республика Крым;Село
Ильичево;Іллічеве;Советский;Республика Крым;Село
Инкерман;Інкерман;Севастополь;Республика Крым;Село
Источное;Істочне;Джанкой;Республика Крым;Село
Источное;Істочне;Красноперекопск;Республика Крым;Село
Ишунь;Ішунь;Красноперекопск;Республика Крым;Село
Казанки;Казанки;Бахчисарай;Республика Крым;Село
Казачья Бухта;Козача Бухта;Севастополь;Республика Крым;Район
Калинино;Калініне;Красногвардейское;Республика Крым;Село
Калинино;Калініне;Первомайское;Республика Крым;Село
Калиновка;Калинівка;Джанкой;Республика Крым;Село
Калиновка;Калинівка;Ленино;Республика Крым;Село
Калиновка;Калинівка;Черноморское;Республика Крым;Село
Каменка;Каменка;Симферополь;Республика Крым;Район
Каменка;Каменка;Керчь;Республика Крым;Район
Каменка;Кам'янка;Первомайское;Республика Крым;Село
Каменоломня;Каменоломня;Саки;Республика Крым;Село
Каменское;Кам'янське;Ленино;Республика Крым;Село
Капканы;Капкани;Керчь;Республика Крым;Район
Капсель;Капсель;Судак;Республика Крым;Село
Карповка;Карпівка;Красногвардейское;Республика Крым;Село
Карьерное;Кар'єрне;Саки;Республика Крым;Село
Кацивели;Кацівелі;Ялта;Республика Крым;Село
Кача;Кача;Севастополь;Республика Крым;Село
Каштановка;Каштанівка;Первомайское;Республика Крым;Село
Каштановое;Каштанове;Симферополь;Республика Крым;Село
Каштаны;Каштани;Бахчисарай;Республика Крым;Село
Керчь-порт;Керч-порт;Керчь;Республика Крым;Район
Киевский;Київський;Симферополь;Республика Крым;Район
Кизиловка;Кизилівка;Симферополь;Республика Крым;Село
Кирово;Кірове;Ленино;Республика Крым;Село
Кировское;Кіровське;Кировское;Республика Крым;Район
Кировское;Кіровське;Черноморское;Республика Крым;Село
Кисточковка;Кісточківка;Нижнегорский;Республика Крым;Село
Кленовка;Кленівка;Симферополь;Республика Крым;Село
Клепинино;Клепиніне;Красногвардейское;Республика Крым;Село
Климово;Климове;Красногвардейское;Республика Крым;Село
Ключи;Ключі;Симферополь;Республика Крым;Село
Ковыльное;Ковильне;Джанкой;Республика Крым;Село
Ковыльное;Ковильне;Раздольное;Республика Крым;Село
Коктебель;Коктебель;Феодосия;Республика Крым;Село
Колодезное;Колодязне;Красногвардейское;Республика Крым;Село
Колодезное;Колодязне;Симферополь;Республика Крым;Село
Колоски;Колоски;Джанкой;Республика Крым;Село
Колоски;Колоски;Саки;Республика Крым;Село
Кольцово;Кольцове;Саки;Республика Крым;Село
Кольчугино;Кольчугине;Симферополь;Республика Крым;Село
Комаровка;Комарівка;Красногвардейское;Республика Крым;Село
Комсомольское;Комсомольське;Джанкой;Республика Крым;Село
Комсомольское;Комсомольське;Симферополь;Республика Крым;Село
Кондратово;Кіндратове;Джанкой;Республика Крым;Село
Константиновка;Костянтинівка;Симферополь;Республика Крым;Село
Корабельная сторона;Корабельна сторона;Севастополь;Республика Крым;Район
Кореиз;Кореїз;Ялта;Республика Крым;Село
Коренное;Корінне;Нижнегорский;Республика Крым;Село
Кормовое;Кормове;Первомайское;Республика Крым;Село
Котельниково;Котельникове;Красногвардейское;Республика Крым;Село
Котовское;Котовське;Раздольное;Республика Крым;Село
Крайнее;Крайнє;Саки;Республика Крым;Село
Красная горка;Червона гірка;Симферополь;Республика Крым;Район
Красная горка;Червона гірка;Севастополь;Республика Крым;Район
Красная Зорька;Красна Зорька;Симферополь;Республика Крым;Село
Красная Поляна;Красна Поляна;Красногвардейское;Республика Крым;Село
Красная Поляна;Красна Поляна;Черноморское;Республика Крым;Село
Красноармейское;Красноармійське;Красноперекопск;Республика Крым;Село
Красноармейское;Красноармійське;Раздольное;Республика Крым;Село
Красновка;Краснівка;Симферополь;Республика Крым;Село
Красногвардейское;Красногвардійське;Красногвардейское;Республика Крым;Район
Красногвардейское;Красногвардійське;Советский;Республика Крым;Село
Красногорка;Красногірка;Ленино;Республика Крым;Село
Краснодарка;Краснодарка;Красногвардейское;Республика Крым;Село
Красное;Красне;Симферополь;Республика Крым;Село
Краснознаменка;Краснознам'янка;Красногвардейское;Республика Крым;Село
Краснокаменка;Краснокам'янка;Ялта;Республика Крым;Село
Краснокаменка;Краснокам'янка;Феодосия;Республика Крым;Район
Краснолесье;Краснолісся;Симферополь;Республика Крым;Село
Красноперекопск;Красноперекопськ;Красноперекопск;Республика Крым;Район
Красносельское;Красносільське;Кировское;Республика Крым;Село
Красносельское;Красносільське;Черноморское;Республика Крым;Село
Краснофлотское;Краснофлотське;Советский;Республика Крым;Село
Красноярское;Красноярське;Черноморское;Республика Крым;Село
Красный Мак;Красний Мак;Бахчисарай;Республика Крым;Село
Красный Партизан;Красний Партизан;Красногвардейское;Республика Крым;Село
Кремневка;Кремнівка;Красногвардейское;Республика Крым;Село
Крепость;Фортеця;Керчь;Республика Крым;Район
Крестьяновка;Крестянівка;Первомайское;Республика Крым;Село
Кринички;Кринички;Кировское;Республика Крым;Село
Криничное;Криничне;Белогорск;Республика Крым;Село
Кропоткино;Кропоткіне;Раздольное;Республика Крым;Село
Крыловка;Криловка;Первомайское;Республика Крым;Село
Крымка;Кримка;Джанкой;Республика Крым;Село
Крымская Роза;Кримська Роза;Белогорск;Республика Крым;Село
Крымское;Кримське;Саки;Республика Крым;Село
Куйбышево;Куйбишеве;Бахчисарай;Республика Крым;Село
Кукушкино;Кукушкіне;Раздольное;Республика Крым;Село
Куликовка;Куликівка;Саки;Республика Крым;Село
Кумово;Кумове;Раздольное;Республика Крым;Село
Курганное;Курганне;Симферополь;Республика Крым;Село
Курортное;Курортне;Белогорск;Республика Крым;Село
Курортное;Курортне;Феодосия;Республика Крым;Село
Курпаты;Курпати;Ялта;Республика Крым;Село
Курское;Курське;Белогорск;Республика Крым;Село
Лавровое;Лаврове;Алушта;Республика Крым;Село
Левадки;Левадки;Симферополь;Республика Крым;Село
Лекарственное;Лікарственне;Симферополь;Республика Крым;Село
Ленино;Леніне;Ленино;Республика Крым;Район
Ленинский;Ленінський;Севастополь;Республика Крым;Район
Ленинское;Ленінське;Красногвардейское;Республика Крым;Село
Ленинское;Ленінське;Ленино;Республика Крым;Село
Лесновка;Ліснівка;Саки;Республика Крым;Село
Лесное;Лісне;Судак;Республика Крым;Село
Лесноселье;Лісносілля;Симферополь;Республика Крым;Село
Лечебное;Лічебне;Белогорск;Республика Крым;Село
Либкнехтовка;Лібкнехтівка;Ленино;Республика Крым;Село
Ливадия;Лівадія;Ялта;Республика Крым;Село
Линейное;Лінійне;Нижнегорский;Республика Крым;Село
Листвинное;Листвинне;Нижнегорский;Республика Крым;Село
Литвиненково;Литвиненкове;Белогорск;Республика Крым;Село
Лобаново;Лобанове;Джанкой;Республика Крым;Село
Лозовое;Лозове;Симферополь;Республика Крым;Село
Ломоносово;Ломоносове;Нижнегорский;Республика Крым;Село
Лоховка;Лохівка;Советский;Республика Крым;Село
Луганское;Луганське;Джанкой;Республика Крым;Село
Луговое;Лугове;Ленино;Республика Крым;Село
Луговое;Лугове;Симферополь;Республика Крым;Район
Лучистое;Лучисте;Алушта;Республика Крым;Село
Льговское;Льговське;Кировское;Республика Крым;Село
Любимовка;Любимівка;Нижнегорский;Республика Крым;Село
Любимовка;Любимівка;Севастополь;Республика Крым;Село
Магазинка;Магазинка;Красноперекопск;Республика Крым;Село
Мазанка;Мазанка;Симферополь;Республика Крым;Село
Майское;Майське;Джанкой;Республика Крым;Село
Маленькое;Маленьке;Симферополь;Республика Крым;Село
Маловидное;Маловидне;Бахчисарай;Республика Крым;Село
Малореченское;Малоріченське;Алушта;Республика Крым;Село
Малый Маяк;Малий Маяк;Алушта;Республика Крым;Село
Марат;Марат;Керчь;Республика Крым;Район
Мартыновка;Мартинівка;Джанкой;Республика Крым;Село
Марфовка;Марфівка;Ленино;Республика Крым;Село
маршала Жукова;маршала Жукова;Симферополь;Республика Крым;Район
Марьевка;Мар'ївка;Ленино;Республика Крым;Село
Марьино;Мар'їне;Джанкой;Республика Крым;Село
Марьино;Мар'їно;Симферополь;Республика Крым;Район
Марьяновка;Мар'янівка;Красногвардейское;Республика Крым;Село
Маслово;Маслове;Джанкой;Республика Крым;Село
Массандра;Масандра;Ялта;Республика Крым;Село
Матвеевка;Матвіївка;Первомайское;Республика Крым;Село
Маяк;Маяк;Керчь;Республика Крым;Район
Медведево;Медведеве;Черноморское;Республика Крым;Село
Медведовка;Медведівка;Джанкой;Республика Крым;Село
Межводное;Міжводне;Черноморское;Республика Крым;Село
Межречье;Міжріччя;Судак;Республика Крым;Село
Мельничное;Мельничне;Белогорск;Республика Крым;Село
Миндальное;Миндальне;Судак;Республика Крым;Село
Мирновка;Мирнівка;Джанкой;Республика Крым;Село
Мирное;Мирне;Симферополь;Республика Крым;Село
Мирный;Мирний;Евпатория;Республика Крым;Село
Миролюбовка;Миролюбівка;Красногвардейское;Республика Крым;Село
Мироновка;Миронівка;Белогорск;Республика Крым;Село
Митрофановка;Митрофанівка;Нижнегорский;Республика Крым;Село
Митяево;Митяєве;Саки;Республика Крым;Село
Михайловка;Михайлівка;Нижнегорский;Республика Крым;Село
Михайловка;Михайлівка;Саки;Республика Крым;Село
Мичурина;Мічуріна;Керчь;Республика Крым;Район
Мичурино;Мічуріно;Керчь;Республика Крым;Район
Мичуринское;Мічурінське;Белогорск;Республика Крым;Село
Многоводное;Многоводне;Джанкой;Республика Крым;Село
Молодежное;Молодіжне;Симферополь;Республика Крым;Село
Молочное;Молочне;Красногвардейское;Республика Крым;Село
Молочное;Молочне;Саки;Республика Крым;Село
Молочное;Молочне;Симферополь;Республика Крым;Село
Молочное;Молочне;Раздольное;Республика Крым;Село
Морское;Морське;Судак;Республика Крым;Село
Москольцо;Москольцо;Симферополь;Республика Крым;Район
Мраморное;Мраморне;Симферополь;Республика Крым;Село
Муромское;Муромське;Белогорск;Республика Крым;Село
Мускатное;Мускатне;Красногвардейское;Республика Крым;Село
Мысовое;Мисове;Ленино;Республика Крым;Село
Набережное;Набережне;Ленино;Республика Крым;Село
Надежда;Надежда;Советский;Республика Крым;Село
Найденовка;Найдьонівка;Красногвардейское;Республика Крым;Село
Наниково;Наникове;Феодосия;Республика Крым;Село
Насыпное;Насипне;Феодосия;Республика Крым;Село
Наташино;Наташине;Саки;Республика Крым;Село
Научный;Научний;Бахчисарай;Республика Крым;Село
Нахимовский;Нахімовський;Севастополь;Республика Крым;Район
Находка;Нахідка;Джанкой;Республика Крым;Село
Некрасовка;Некрасовка;Бахчисарай;Республика Крым;Село
Некрасовка;Некрасовка;Советский;Республика Крым;Село
Некрасово;Некрасове;Красногвардейское;Республика Крым;Село
Нива;Нива;Раздольное;Республика Крым;Село
Нижнегорский;Нижньогірський;Нижнегорский;Республика Крым;Район
Нижние Орешники;Нижні Орішники;Белогорск;Республика Крым;Село
Нижняя Кутузовка;Нижня Кутузовка;Алушта;Республика Крым;Село
Николаевка;Миколаївка;Симферополь;Республика Крым;Село
Николаевка;Миколаївка;Советский;Республика Крым;Село
Новая Деревня;Нова Деревня;Первомайское;Республика Крым;Село
Новая Жизнь;Нове Життя;Джанкой;Республика Крым;Село
Новенькое;Новеньке;Бахчисарай;Республика Крым;Село
Новоалексеевка;Новоолексіївка;Красногвардейское;Республика Крым;Село
Новоандреевка;Новоандріївка;Симферополь;Республика Крым;Село
Нововасильевка;Нововасилівка;Бахчисарай;Республика Крым;Село
Новогригорьевка;Новогригорівка;Нижнегорский;Республика Крым;Село
Новое;Нове;Ленино;Республика Крым;Село
Новое;Нове;Советский;Республика Крым;Село
Новожиловка;Новожилівка;Белогорск;Республика Крым;Село
Новозбурьевка;Новозбурївка;Симферополь;Республика Крым;Село
Новозуевка;Новозуївка;Красногвардейское;Республика Крым;Село
Новоивановка;Новоіванівка;Красноперекопск;Республика Крым;Село
Новоивановка;Новоіванівка;Нижнегорский;Республика Крым;Село
Новоивановка;Новоіванівка;Черноморское;Республика Крым;Село
